Title,Place,Land Size,PublishDate,Price
Land On Sale,Bhaktapur > Suryabinayak  ,"  Land Size (in aana/dhur): 4,7",05-01-2022,"Rs. 12,00,000"
Godawari Badikhel Lele Road Height Land With Amazing Valley View,Lalitpur > Badikhel (Godawari), ,29-12-2021,"Rs. 12,00,000"
Land For Sale,Lalitpur > Tikabhairab (Godawari)  ,  Land Size (in aana/dhur): 30 A,10-12-2021,"Rs. 4,10,000"
Land For Sale Only 12 Lakh,Lalitpur > Thaiba (Godawari), ,18-10-2021,"Rs. 12,00,000"
42 Laakh For 3 Aana 1 Paisa Land (0-3-1-1) At Saakhu,Kathmandu > Sankhu (Shankharapur), ,19-12-2021,"Rs. 14,00,000"
Landcruser Prado,, ,06-01-2022,"Rs. 38,00,000"
Toyota Land Cruiser Prado Vx-mt,, ,04-01-2022,"Rs. 3,22,00,000"
Land Rover On Sale,, ,25-12-2021,"Rs. 60,00,000"
Land For Sale In Nagarkot Near Mystic Mountain Surya Chaur,Bhaktapur > Nagarkot  ,  Land Size (in aana/dhur): 18,10-12-2021,"Rs. 1,70,000"
18 Aana Land In Dhapakhel,Lalitpur > Dhapakhel  ,  Land Size (in aana/dhur): 18,23-11-2021,"Rs. 14,50,000"
Urgent Land And Home Sale,Chitwan > Chitwan (Other Area)  ,  Land Size (in aana/dhur): 110,31-12-2021,"Rs. 1,50,000"
"4 Aana Land Sale On Chhampi-3,lalitpur",Lalitpur > Champi (Karyabinayak), ,26-12-2021,"Rs. 6,50,000"
Tokha Land On Sell,Kathmandu > Tokha  ,  Land Size (in aana/dhur): 5,24-12-2021,"Rs. 15,00,000"
"Land Sale At Naya Thimi, Chaku",Bhaktapur > Naya Thimi  ,  Land Size (in aana/dhur): 12.5,30-11-2021,"Rs. 16,50,000"
Single Toyota Land Cruiser Prado Tx,, ,02-01-2022,"Rs. 1,95,00,000"
1 Ropani Jawalakhel Land,Lalitpur > Ekantakuna  ,  Land Size (in aana/dhur): 16,26-12-2021,"Rs. 1,00,000"
Land For Sale In Bhaktapur,Bhaktapur > Kamalbinayak  ,  Land Size (in aana/dhur): 6,27-11-2021,"Rs. 16,00,000"
Urgent Sale 5 Aana Land Hattiban -harisiddhi Area 1.9km From Satdobato,Lalitpur > Hattiban  ,  Land Size (in aana/dhur): 5,16-10-2021,"Rs. 30,75,000"
Plotted Land Sales In Lele Lalitpur,Lalitpur > Lele (Bajrabarahi), ,20-09-2021,"Rs. 8,00,000"
7 Aana Land For Sale In Maharajgunj Chakrapath,Kathmandu > Maharajgunj  ,  Land Size (in aana/dhur): 7,04-01-2022,"Rs. 55,00,000"
"Land On Sale, 9851166320",Lalitpur > Lubhu (Mahalaxmi)  ,  Land Size (in aana/dhur): 6,26-12-2021,"Rs. 16,90,000"
Land Suitable For Hotel And Resort,Kavrepalanchok > Mandandeupur  ,  Land Size (in aana/dhur): 224,18-05-2021,"Rs. 2,00,000"
Land Rover Freelander 2005,, ,15-12-2021,"Rs. 33,00,000"
Land For Sell,Kathmandu > Baluwakhani (Kapan)  ,  Land Size (in aana/dhur): 8,21-12-2021,"Rs. 17,50,000"
Single Hand 2012 Land Rover Discovery On Sale,, ,26-12-2021,"Rs. 2,45,00,000"
5 Ropani Land On Road (2.5 Lakh Per Ropani) At Dhading,Dhading > Dhading (Other Area)  ,  Land Size (in aana/dhur): 82,17-12-2021,"Rs. 15,625"
Prime Location Land,Kathmandu > Jyatha (Thamel)  ,  Land Size (in aana/dhur): 2-1,23-12-2021,"Rs. 75,00,000"
Land On Sale ( Urgent),Lalitpur > Lele (Bajrabarahi), ,30-11-2021,"Rs. 5,25,000"
House Urgently Needed In 4aana Land,Kathmandu > Matatirtha (Chandragiri)  ,  Land Size (in aana/dhur): 4,22-11-2021,"Rs. 1,00,00,000"
Land For Sale,Kathmandu > Bafal, ,06-12-2021,"Rs. 21,00,000"
Free House On Purchase Of Land,Kathmandu > Kuleshwor  ,  Land Size (in aana/dhur): 6,13-10-2021,"Rs. 80,00,000"
Toyota Land Cruiser,, ,31-12-2021,"Rs. 1,55,00,000"
Toyota Land Cruiser Prado Vx-at,, ,05-01-2022,"Rs. 3,30,00,000"
9 Ropani Land In Chhampi,Lalitpur > Badikhel (Godawari), ,10-10-2021,"Rs. 3,00,000"
Land On Sale,Lalitpur > Bungamati (Karyabinayak)  ,  Land Size (in aana/dhur): 18,19-12-2021,"Rs. 14,00,000"
10 Ropani Land (doyam Khet) At Dhading 2 Hours Drive From Kathmandu,Dhading > Dhading (Other Area)  ,  Land Size (in aana/dhur): 160,11-11-2021,"Rs. 32,000"
Land For Sale In Bhaisepati Along With Vibor Plotting,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 4,02-09-2021,"Rs. 29,00,000"
Land On Sale Urgent,Kathmandu > Jyatha (Thamel), ,01-01-2022,"Rs. 50,00,000"
6 Ropani Land+ 4 Houses (antique)+ Fencing With Private Water Resource,Dhading > Dhading (Other Area)  ,  Land Size (in aana/dhur): 110,12-11-2021,"Rs. 90,000"
Land/house Buy & Sell...,Lalitpur > Thecho (Bajrabarahi), ,24-12-2021,"Rs. 16,00,000"
Land For Sale Above Dipang And Begnas Lake,Kaski (Pokhara) > Sisuwa (Outskirt)  ,  Land Size (in aana/dhur): 72,01-01-2022,"Rs. 1,87,500"
5anna Land On Sale,Lalitpur > Champi (Karyabinayak)  ,  Land Size (in aana/dhur): 5,01-01-2022,"Rs. 20,00,000"
Land For Sale,Chitwan (Bharatpur) > Baseni  ,  Land Size (in aana/dhur): 25,24-11-2021,"Rs. 6,00,000"
Sitapaila Land On Sale( Budget Friendly Luxury Plots- Hurry Up!),Kathmandu > Sitapaila (Nagarjun)  ,  Land Size (in aana/dhur): 3-5,18-11-2021,"Rs. 28,00,000"
Land Sell,Kathmandu > Satungal (Chandragiri), ,04-01-2022,"Rs. 13,00,000"
3 Aana Land White Gumba Side ( Sitapaila ),Kathmandu > Ramkot (Nagarjun)  ,  Land Size (in aana/dhur): 3,18-12-2021,"Rs. 12,00,000"
House With Land For Sale At Birauta (pokhara-17),Kaski (Pokhara) > Birauta  ,  Land Size (in aana/dhur): 7.2,18-11-2021,"Rs. 15,00,000"
Land On Sales,Kathmandu > Chalnakhel (Dakshinkali)  ,  Land Size (in aana/dhur): 3,21-12-2021,"Rs. 9,50,000"
Plotted Land For Sale At Ramkot,Kathmandu > Ramkot (Nagarjun)  ,  Land Size (in aana/dhur): 09 A,02-01-2022,"Rs. 24,99,999"
